名前,生年,没年,肩書,期間,継承,朝代更换,メモ
周厲王姬胡,,前828,西周,前877-前841,周夷王姬燮,,
共和,,,西周,前841-前828,周厲王姬胡,,共和摂政
周宣王姬靜,,前782,西周,前827-前782,共和,,
周幽王姬宮湼,,前771,西周,前781-前771,周宣王姬靜,,犬戎に殺される
周平王姬宜臼,,前720,東周·春秋,前770-前720,周幽王姬宮湼,,春秋時代の始まり(前770)
周桓王姬林,,前697,東周·春秋,前719-前697,周平王姬宜臼,,
周莊王姬佗,,前682,東周·春秋,前696-前682,周桓王姬林,,
周釐王姬胡齊,,前677,東周·春秋,前681-前677,周莊王姬佗,,
周惠王姬閬,,前652,東周·春秋,前676-前652,周釐王姬胡齊,,
周襄王姬鄭,,前619,東周·春秋,前651-前619,周惠王姬閬,,
周頃王姬壬臣,,前613,東周·春秋,前618-前613,周襄王姬鄭,,
周匡王姬班,,前607,東周·春秋,前612-前607,周頃王姬壬臣,,
周定王姬瑜,,前586,東周·春秋,前606-前586,周匡王姬班,,
周簡王姬夷,,前572,東周·春秋,前585-前572,周定王姬瑜,,
周靈王姬泄心,,前545,東周·春秋,前571-前545,周簡王姬夷,,
周景王姬貴,,前520,東周·春秋,前544-前520,周靈王姬泄心,,
周悼王姬猛,,前520,東周·春秋,前520,周景王姬貴,,
周敬王姬匄,,前476,東周·春秋,前519-前476,周悼王姬猛,,
周元王姬仁,,前469,東周·戰國,前475-前469,周敬王姬匄,,戦国時代の始まり(前475)
周貞定王姬介,,前441,東周·戰國,前468-前441,周元王姬仁,,
周哀王姬去疾,,前441,東周·戰國,前441,周貞定王姬介,,
周思王姬叔襲,,前441,東周·戰國,前441,周哀王姬去疾,,
周考王姬嵬,,前426,東周·戰國,前440-前426,周思王姬叔襲,,
周威烈王姬午,,前402,東周·戰國,前425-前402,周考王姬嵬,,
周安王姬驕,,前376,東周·戰國,前401-前376,周威烈王姬午,,
周烈王姬喜,,前369,東周·戰國,前375-前369,周安王姬驕,,
周顯王姬扁,,前321,東周·戰國,前368-前321,周烈王姬喜,,
周慎靚王姬定,,前315,東周·戰國,前320-前315,周顯王姬扁,,
周赧王姬延,,前256,東周·戰國,前314-前256,周慎靚王姬定,,前256秦に滅ぼされる
秦厲共公,,前443,戰國·秦,前476-前443,,,
秦躁公,,前429,戰國·秦,前442-前429,秦厲共公,,
秦懷公,,前425,戰國·秦,前428-前425,秦躁公,,
秦靈公,,前415,戰國·秦,前424-前415,秦懷公,,
秦簡公,,前400,戰國·秦,前414-前400,秦靈公,,
秦惠公,,前387,戰國·秦,前399-前387,秦簡公,,
秦出子,,前385,戰國·秦,前386-前385,秦惠公,,
秦獻公嬴師隰,前424,前362,戰國·秦,前384-前362,秦出子,,
秦孝公嬴渠梁,前381,前338,戰國·秦,前361-前338,秦獻公嬴師隰,,
秦惠文王嬴駟,前356,前311,戰國·秦,前337-前311,秦孝公嬴渠梁,,
秦武王嬴蕩,前329,前307,戰國·秦,前310-前307,秦惠文王嬴駟,,
秦昭襄王嬴稷,前325,前251,戰國·秦,前306-前251,秦武王嬴蕩,周赧王姬延,前256滅周
秦孝文王嬴柱,前302,前250,戰國·秦,前250,秦昭襄王嬴稷,,
秦莊襄王嬴子楚,前281,前247,戰國·秦,前249-前247,秦孝文王嬴柱,,
齊太公田和,,前384,戰國·齊,前386-前384,,,
齊侯剡田剡,,前375,戰國·齊,前383-前375,齊太公田和,,
齊桓公田午,前400,前357,戰國·齊,前374-前357,齊侯剡田剡,,
齊威王田因齊,前378,前320,戰國·齊,前356-前320,齊桓公田午,,
齊宣王田辟疆,前350,前301,戰國·齊,前319-前301,齊威王田因齊,,
齊湣王田地,前323,前284,戰國·齊,前300-前284,齊宣王田辟疆,,
齊襄王田法章,,前265,戰國·齊,前283-前265,齊湣王田地,,
齊王建田建,前280,前221,戰國·齊,前264-前221,齊襄王田法章,,前221秦に滅ぼされる
楚惠王熊章,,前432,戰國·楚,前488-前432,,,
楚簡王熊中,,前408,戰國·楚,前431-前408,楚惠王熊章,,
楚聲王熊當,,前402,戰國·楚,前407-前402,楚簡王熊中,,
楚悼王熊疑,,前381,戰國·楚,前401-前381,楚聲王熊當,,
楚肅王熊臧,,前370,戰國·楚,前380-前370,楚悼王熊疑,,
楚宣王熊良夫,,前340,戰國·楚,前369-前340,楚肅王熊臧,,
楚威王熊商,,前329,戰國·楚,前339-前329,楚宣王熊良夫,,
楚懷王熊槐,前328,前296,戰國·楚,前328-前299,楚威王熊商,,
楚頃襄王熊橫,,前263,戰國·楚,前298-前263,楚懷王熊槐,,
楚考烈王熊完,前290,前238,戰國·楚,前262-前238,楚頃襄王熊橫,,
楚幽王熊悍,前263,前228,戰國·楚,前237-前228,楚考烈王熊完,,
楚哀王熊猶,,前228,戰國·楚,前228,楚幽王熊悍,,
楚王負芻,,前223,戰國·楚,前227-前223,楚哀王熊猶,,前223秦に滅ぼされる
燕易王,,前321,戰國·燕,前332-前321,,,戦国前期の燕王は年代不明のため省略
燕王噲,,前314,戰國·燕,前320-前314,燕易王,,
燕昭王姬職,,前279,戰國·燕,前311-前279,燕王噲,,
燕惠王,,前272,戰國·燕,前278-前272,燕昭王姬職,,
燕武成王,,前258,戰國·燕,前271-前258,燕惠王,,
燕孝王,,前255,戰國·燕,前257-前255,燕武成王,,
燕王喜,,前222,戰國·燕,前254-前222,燕孝王,,前222秦に滅ぼされる
韓景侯,,前400,戰國·韓,前408-前400,,,
韓烈侯,,前387,戰國·韓,前399-前387,韓景侯,,
韓文侯,,前377,戰國·韓,前386-前377,韓烈侯,,
韓哀侯,,前374,戰國·韓,前376-前374,韓文侯,,
韓懿侯,,前363,戰國·韓,前373-前363,韓哀侯,,
韓昭侯,,前333,戰國·韓,前362-前333,韓懿侯,,
韓宣惠王,,前312,戰國·韓,前332-前312,韓昭侯,,
韓襄王,,前296,戰國·韓,前311-前296,韓宣惠王,,
韓釐王,,前273,戰國·韓,前295-前273,韓襄王,,
韓桓惠王,,前239,戰國·韓,前272-前239,韓釐王,,
韓王安,,前230,戰國·韓,前238-前230,韓桓惠王,,前230秦に滅ぼされる
趙烈侯,,前400,戰國·趙,前408-前400,,,
趙武侯,,前387,戰國·趙,前399-前387,趙烈侯,,
趙敬侯,,前375,戰國·趙,前386-前375,趙武侯,,
趙成侯,,前350,戰國·趙,前374-前350,趙敬侯,,
趙肅侯,,前326,戰國·趙,前349-前326,趙成侯,,
趙武靈王,前340,前295,戰國·趙,前325-前299,趙肅侯,,
趙惠文王,前310,前266,戰國·趙,前298-前266,趙武靈王,,
趙孝成王,,前245,戰國·趙,前265-前245,趙惠文王,,
趙悼襄王,,前236,戰國·趙,前244-前236,趙孝成王,,
趙王遷,,前228,戰國·趙,前235-前228,趙悼襄王,,前228秦に滅ぼされる
魏文侯,,前396,戰國·魏,前445-前396,,,
魏武侯,,前370,戰國·魏,前395-前370,魏文侯,,
魏惠王,前400,前319,戰國·魏,前369-前319,魏武侯,,
魏襄王,,前296,戰國·魏,前318-前296,魏惠王,,
魏昭王,,前277,戰國·魏,前295-前277,魏襄王,,
魏安釐王,,前243,戰國·魏,前276-前243,魏昭王,,
魏景湣王,,前228,戰國·魏,前242-前228,魏安釐王,,
魏王假,,前225,戰國·魏,前227-前225,魏景湣王,,前225秦に滅ぼされる
秦始皇帝嬴政,前259,前210,秦,前246-前210,秦莊襄王嬴子楚,韓王安;趙王遷;魏王假;楚王負芻;燕王喜;齊王建田建,前246秦王即位→前221称帝・六国併呑(戦国終焉)
秦二世胡亥,前230,前207,秦,前210-前207,秦始皇帝嬴政,,
秦王子嬰,,前207,秦,前207,秦二世胡亥,,
漢高祖劉邦,前256,前195,前漢,前202-前195,,秦王子嬰,秦滅→漢
漢惠帝劉盈,前210,前188,前漢,前195-前188,漢高祖劉邦,,
前少帝劉恭,,前184,前漢,前188-前184,漢惠帝劉盈,,
後少帝劉弘,,前180,前漢,前184-前180,前少帝劉恭,,
漢文帝劉恆,前203,前157,前漢,前180-前157,後少帝劉弘,,
漢景帝劉啟,前188,前141,前漢,前157-前141,漢文帝劉恆,,
漢武帝劉徹,前156,前87,前漢,前141-前87,漢景帝劉啟,,
漢昭帝劉弗陵,前94,前74,前漢,前87-前74,漢武帝劉徹,,
昌邑王劉賀,前92,前59,前漢,前74,漢昭帝劉弗陵,,
漢宣帝劉詢,前91,前49,前漢,前74-前49,昌邑王劉賀,,
漢元帝劉奭,前74,前33,前漢,前49-前33,漢宣帝劉詢,,
漢成帝劉驁,前51,前7,前漢,前33-前7,漢元帝劉奭,,
漢哀帝劉欣,前25,前1,前漢,前7-前1,漢成帝劉驁,,
漢平帝劉衎,前9,6,前漢,前1-6,漢哀帝劉欣,,
孺子嬰劉嬰,5,25,前漢,6-9,漢平帝劉衎,,禅让予王莽
新莽王莽,前45,23,新,9-23,,孺子嬰劉嬰,
漢光武帝劉秀,前5,57,東漢,25-57,,新莽王莽,
漢明帝劉莊,28,75,東漢,57-75,漢光武帝劉秀,,
漢章帝劉炟,57,88,東漢,75-88,漢明帝劉莊,,
漢和帝劉肇,79,105,東漢,88-105,漢章帝劉炟,,
漢殤帝劉隆,105,106,東漢,105-106,漢和帝劉肇,,
漢安帝劉祜,94,125,東漢,106-125,漢殤帝劉隆,,
北鄉侯劉懿,,125,東漢,125,漢安帝劉祜,,
漢順帝劉保,115,144,東漢,125-144,北鄉侯劉懿,,
漢沖帝劉炳,143,145,東漢,144-145,漢順帝劉保,,
漢質帝劉纘,138,146,東漢,145-146,漢沖帝劉炳,,
漢桓帝劉志,132,168,東漢,146-168,漢質帝劉纘,,
漢靈帝劉宏,156,189,東漢,168-189,漢桓帝劉志,,
弘農王劉辯,176,190,東漢,189,漢靈帝劉宏,,
漢獻帝劉協,181,234,東漢,189-220,弘農王劉辯,,禅让予魏
魏文帝曹丕,187,226,魏,220-226,,漢獻帝劉協,
魏明帝曹叡,204,239,魏,226-239,魏文帝曹丕,,
齊王曹芳,232,274,魏,239-254,魏明帝曹叡,,
高貴鄉公曹髦,241,260,魏,254-260,齊王曹芳,,
魏元帝曹奐,246,303,魏,260-265,高貴鄉公曹髦;蜀漢後主劉禪,,禅让予晉
昭烈帝劉備,161,223,蜀漢,221-223,,漢獻帝劉協,漢統継承を主張
蜀漢後主劉禪,207,271,蜀漢,223-263,昭烈帝劉備,,蜀滅→魏
吳大帝孫權,182,252,呉,229-252,,魏文帝曹丕,魏に封王→自立
會稽王孫亮,243,260,呉,252-258,吳大帝孫權,,
吳景帝孫休,235,264,呉,258-264,會稽王孫亮,,
吳末帝孫皓,242,284,呉,264-280,吳景帝孫休,,呉滅→晉
晉武帝司馬炎,236,290,西晉,265-290,,魏元帝曹奐;吳末帝孫皓,
晉惠帝司馬衷,259,306,西晉,290-306,晉武帝司馬炎,,
晉懷帝司馬熾,284,313,西晉,307-311,晉惠帝司馬衷,,
晉愍帝司馬鄴,300,318,西晉,313-316,晉懷帝司馬熾,,
晉元帝司馬睿,276,322,東晉,317-322,晉愍帝司馬鄴,,
晉明帝司馬紹,299,325,東晉,322-325,晉元帝司馬睿,,
晉成帝司馬衍,321,342,東晉,325-342,晉明帝司馬紹,,
晉康帝司馬嶽,322,344,東晉,342-344,晉成帝司馬衍,,
晉穆帝司馬聃,343,361,東晉,344-361,晉康帝司馬嶽,,
晉哀帝司馬丕,341,365,東晉,361-365,晉穆帝司馬聃,,
海西公司馬奕,342,386,東晉,365-371,晉哀帝司馬丕,,
晉簡文帝司馬昱,320,372,東晉,371-372,海西公司馬奕,,
晉孝武帝司馬曜,362,396,東晉,372-396,晉簡文帝司馬昱,,
晉安帝司馬德宗,382,418,東晉,396-418,晉孝武帝司馬曜,,
晉恭帝司馬德文,386,421,東晉,418-420,晉安帝司馬德宗,,禅让予宋
宋武帝劉裕,363,422,南朝宋,420-422,,晉恭帝司馬德文,
宋少帝劉義符,406,424,南朝宋,422-424,宋武帝劉裕,,
宋文帝劉義隆,407,453,南朝宋,424-453,宋少帝劉義符,,
宋孝武帝劉駿,430,464,南朝宋,453-464,宋文帝劉義隆,,
前廢帝劉子業,449,465,南朝宋,464-465,宋孝武帝劉駿,,
宋明帝劉彧,439,472,南朝宋,465-472,前廢帝劉子業,,
後廢帝劉昱,463,477,南朝宋,472-477,宋明帝劉彧,,
宋順帝劉準,467,479,南朝宋,477-479,後廢帝劉昱,,禅让予齊
齊高帝蕭道成,427,482,南齊,479-482,,宋順帝劉準,
齊武帝蕭賾,440,493,南齊,482-493,齊高帝蕭道成,,
鬱林王蕭昭業,473,494,南齊,493-494,齊武帝蕭賾,,
海陵王蕭昭文,480,494,南齊,494,鬱林王蕭昭業,,
齊明帝蕭鸞,452,498,南齊,494-498,海陵王蕭昭文,,
東昏侯蕭寶卷,483,501,南齊,498-501,齊明帝蕭鸞,,
齊和帝蕭寶融,488,502,南齊,501-502,東昏侯蕭寶卷,,禅让予梁
梁武帝蕭衍,464,549,梁,502-549,,齊和帝蕭寶融,
梁簡文帝蕭綱,503,551,梁,549-551,梁武帝蕭衍,,
梁元帝蕭繹,508,554,梁,552-554,梁簡文帝蕭綱,,
梁敬帝蕭方智,543,557,梁,555-557,梁元帝蕭繹,,禅让予陳
陳武帝陳霸先,503,559,陳,557-559,,梁敬帝蕭方智,
陳文帝陳蒨,522,566,陳,559-566,陳武帝陳霸先,,
陳廢帝陳伯宗,552,570,陳,566-568,陳文帝陳蒨,,
陳宣帝陳頊,530,582,陳,568-582,陳廢帝陳伯宗,,
陳後主陳叔寶,553,604,陳,582-589,陳宣帝陳頊,,陳滅→隋
北魏道武帝拓跋珪,371,409,北魏,386-409,,,
北魏明元帝拓跋嗣,392,423,北魏,409-423,北魏道武帝拓跋珪,,
北魏太武帝拓跋燾,408,452,北魏,423-452,北魏明元帝拓跋嗣,,
北魏文成帝拓跋濬,440,465,北魏,452-465,北魏太武帝拓跋燾,,
北魏獻文帝拓跋弘,454,476,北魏,465-471,北魏文成帝拓跋濬,,
北魏孝文帝元宏,467,499,北魏,471-499,北魏獻文帝拓跋弘,,
北魏宣武帝元恪,483,515,北魏,499-515,北魏孝文帝元宏,,
北魏孝明帝元詡,510,528,北魏,515-528,北魏宣武帝元恪,,
北魏孝莊帝元子攸,507,530,北魏,528-530,北魏孝明帝元詡,,
北魏節閔帝元恭,498,532,北魏,531-532,北魏孝莊帝元子攸,,
北魏孝武帝元脩,510,535,北魏,532-534,北魏節閔帝元恭,,西奔→西魏
東魏孝靜帝元善見,524,552,東魏,534-550,北魏孝武帝元脩,,禅让予北齊
西魏文帝元寶炬,507,551,西魏,535-551,北魏孝武帝元脩,,
西魏廢帝元欽,,554,西魏,551-554,西魏文帝元寶炬,,
西魏恭帝拓跋廓,,557,西魏,554-557,西魏廢帝元欽,,禅让予北周
北齊文宣帝高洋,526,559,北齊,550-559,,東魏孝靜帝元善見,篡位
北齊廢帝高殷,545,561,北齊,559-560,北齊文宣帝高洋,,
北齊孝昭帝高演,535,561,北齊,560-561,北齊廢帝高殷,,
北齊武成帝高湛,537,568,北齊,561-565,北齊孝昭帝高演,,
北齊後主高緯,556,577,北齊,565-577,北齊武成帝高湛,,
北齊幼主高恆,570,577,北齊,577,北齊後主高緯,,
北周孝閔帝宇文覺,542,557,北周,557,,西魏恭帝拓跋廓,
北周明帝宇文毓,534,560,北周,557-560,北周孝閔帝宇文覺,,
北周武帝宇文邕,543,578,北周,560-578,北周明帝宇文毓,北齊幼主高恆,北齊滅(577)
北周宣帝宇文贇,559,580,北周,578-579,北周武帝宇文邕,,
北周靜帝宇文闡,573,581,北周,579-581,北周宣帝宇文贇,,禅让予隋
隋文帝楊堅,541,604,隋,581-604,,北周靜帝宇文闡;陳後主陳叔寶,
隋煬帝楊廣,569,618,隋,604-618,隋文帝楊堅,,
隋恭帝楊侑,605,619,隋,617-618,隋煬帝楊廣,,禅让予唐
唐高祖李淵,566,635,唐,618-626,,隋恭帝楊侑,
唐太宗李世民,598,649,唐,626-649,唐高祖李淵,,
唐高宗李治,628,683,唐,649-683,唐太宗李世民,,
唐中宗李顯,656,710,唐,684;705-710,唐高宗李治,武周則天武曌,2度即位
唐睿宗李旦,662,716,唐,684-690;710-712,唐中宗李顯;唐殤帝李重茂,,2度即位
武周則天武曌,624,705,武周,690-705,,唐睿宗李旦,革命→称帝
唐殤帝李重茂,695,714,唐,710,唐中宗李顯,,
唐玄宗李隆基,685,762,唐,712-756,唐睿宗李旦,,
唐肅宗李亨,711,762,唐,756-762,唐玄宗李隆基,,
唐代宗李豫,726,779,唐,762-779,唐肅宗李亨,,
唐德宗李適,742,805,唐,779-805,唐代宗李豫,,
唐順宗李誦,761,806,唐,805,唐德宗李適,,
唐憲宗李純,778,820,唐,805-820,唐順宗李誦,,
唐穆宗李恆,795,824,唐,820-824,唐憲宗李純,,
唐敬宗李湛,809,826,唐,824-826,唐穆宗李恆,,
唐文宗李昂,809,840,唐,826-840,唐敬宗李湛,,
唐武宗李炎,814,846,唐,840-846,唐文宗李昂,,
唐宣宗李忱,810,859,唐,846-859,唐武宗李炎,,
唐懿宗李漼,833,873,唐,859-873,唐宣宗李忱,,
唐僖宗李儇,862,888,唐,873-888,唐懿宗李漼,,
唐昭宗李曄,867,904,唐,888-904,唐僖宗李儇,,
唐哀帝李柷,892,908,唐,904-907,唐昭宗李曄,,唐滅→後梁
後梁太祖朱溫,852,912,後梁,907-912,,唐哀帝李柷,
後梁末帝朱友貞,888,923,後梁,912-923,後梁太祖朱溫,,
後唐莊宗李存勖,885,926,後唐,923-926,,後梁末帝朱友貞;前蜀後主王衍,滅梁・前蜀
後唐明宗李嗣源,867,933,後唐,926-933,後唐莊宗李存勖,,
後唐閔帝李從厚,914,934,後唐,933-934,後唐明宗李嗣源,,
後唐末帝李從珂,885,936,後唐,934-936,後唐閔帝李從厚,,
後晉高祖石敬瑭,892,942,後晉,936-942,,後唐末帝李從珂,
後晉出帝石重貴,914,974,後晉,942-946,後晉高祖石敬瑭,,後晉滅→遼
後漢高祖劉知遠,895,948,後漢,947-948,,後晉出帝石重貴,
後漢隱帝劉承祐,930,950,後漢,948-950,後漢高祖劉知遠,,
後周太祖郭威,904,954,後周,951-954,,後漢隱帝劉承祐,
後周世宗柴榮,921,959,後周,954-959,後周太祖郭威,,
後周恭帝柴宗訓,953,973,後周,959-960,後周世宗柴榮,,陳橋兵變→宋
吳太祖楊行密,852,905,吳,902-905,,,
吳烈祖楊渥,886,908,吳,905-908,吳太祖楊行密,,
吳高祖楊隆演,897,920,吳,908-920,吳烈祖楊渥,,
吳睿帝楊溥,900,938,吳,920-937,吳高祖楊隆演,,禅让予南唐
南唐烈祖李昪,888,943,南唐,937-943,,吳睿帝楊溥,
南唐元宗李璟,916,961,南唐,943-961,南唐烈祖李昪,閩天德帝王延政;楚末王馬希崇,閩・楚を併呑
南唐後主李煜,937,978,南唐,961-975,南唐元宗李璟,,南唐滅→北宋
吳越武肅王錢鏐,852,932,吳越,907-932,,,
吳越文穆王錢元瓘,887,941,吳越,932-941,吳越武肅王錢鏐,,
吳越忠獻王錢弘佐,928,947,吳越,941-947,吳越文穆王錢元瓘,,
吳越忠遜王錢弘倧,929,948,吳越,947-948,吳越忠獻王錢弘佐,,
吳越忠懿王錢弘俶,929,988,吳越,948-978,吳越忠遜王錢弘倧,,納土予宋
楚武穆王馬殷,852,930,楚,907-930,,,
楚衡陽王馬希聲,899,932,楚,930-932,楚武穆王馬殷,,
楚文昭王馬希範,899,947,楚,932-947,楚衡陽王馬希聲,,
楚廢王馬希廣,,950,楚,947-950,楚文昭王馬希範,,
楚恭孝王馬希萼,,952,楚,950-951,楚廢王馬希廣,,
楚末王馬希崇,,,楚,951,楚恭孝王馬希萼,,楚滅→南唐
閩太祖王審知,862,925,閩,909-925,,,
閩嗣王王延翰,,926,閩,925-926,閩太祖王審知,,
閩惠宗王延鈞,,935,閩,926-935,閩嗣王王延翰,,
閩康宗王繼鵬,,939,閩,935-939,閩惠宗王延鈞,,
閩景宗王延羲,,944,閩,939-944,閩康宗王繼鵬,,
閩天德帝王延政,,,閩,943-945,閩景宗王延羲,,閩滅→南唐
南漢高祖劉龑,889,941,南漢,917-941,,,
南漢殤帝劉玢,920,943,南漢,941-943,南漢高祖劉龑,,
南漢中宗劉晟,920,958,南漢,943-958,南漢殤帝劉玢,,
南漢後主劉鋹,942,980,南漢,958-971,南漢中宗劉晟,,南漢滅→北宋
荊南武信王高季興,858,929,荊南,924-929,,,
荊南文獻王高從誨,891,948,荊南,929-948,荊南武信王高季興,,
荊南貞懿王高保融,920,960,荊南,948-960,荊南文獻王高從誨,,
荊南貞安王高保勗,924,962,荊南,960-962,荊南貞懿王高保融,,
荊南侍中高繼沖,943,973,荊南,962-963,荊南貞安王高保勗,,納土予宋
前蜀高祖王建,847,918,前蜀,907-918,,,
前蜀後主王衍,899,926,前蜀,918-925,前蜀高祖王建,,前蜀滅→後唐
後蜀高祖孟知祥,874,934,後蜀,934,,,
後蜀後主孟昶,919,965,後蜀,934-965,後蜀高祖孟知祥,,後蜀滅→北宋
北漢世祖劉旻,895,954,北漢,951-954,,,
北漢睿宗劉承鈞,926,968,北漢,954-968,北漢世祖劉旻,,
北漢少主劉繼恩,,968,北漢,968,北漢睿宗劉承鈞,,
北漢英武帝劉繼元,,992,北漢,968-979,北漢少主劉繼恩,,北漢滅→北宋
遼太祖耶律阿保機,872,926,遼,916-926,,,
遼太宗耶律德光,902,947,遼,926-947,遼太祖耶律阿保機,後晉出帝石重貴,滅後晉(946)
遼世宗耶律阮,919,951,遼,947-951,遼太宗耶律德光,,
遼穆宗耶律璟,931,969,遼,951-969,遼世宗耶律阮,,
遼景宗耶律賢,948,982,遼,969-982,遼穆宗耶律璟,,
遼聖宗耶律隆緒,971,1031,遼,982-1031,遼景宗耶律賢,,
遼興宗耶律宗真,1016,1055,遼,1031-1055,遼聖宗耶律隆緒,,
遼道宗耶律洪基,1032,1101,遼,1055-1101,遼興宗耶律宗真,,
遼天祚帝耶律延禧,1075,1128,遼,1101-1125,遼道宗耶律洪基,,遼滅→金
宋太祖趙匡胤,927,976,北宋,960-976,,後周恭帝柴宗訓;荊南侍中高繼沖;南漢後主劉鋹;後蜀後主孟昶;南唐後主李煜,陳橋兵變・併呑諸国
宋太宗趙炅,939,997,北宋,976-997,宋太祖趙匡胤,吳越忠懿王錢弘俶;北漢英武帝劉繼元,吳越・北漢を併呑
宋真宗趙恆,968,1022,北宋,997-1022,宋太宗趙炅,,
宋仁宗趙禎,1010,1063,北宋,1022-1063,宋真宗趙恆,,
宋英宗趙曙,1032,1067,北宋,1063-1067,宋仁宗趙禎,,
宋神宗趙頊,1048,1085,北宋,1067-1085,宋英宗趙曙,,
宋哲宗趙煦,1076,1100,北宋,1085-1100,宋神宗趙頊,,
宋徽宗趙佶,1082,1135,北宋,1100-1125,宋哲宗趙煦,,
宋欽宗趙桓,1100,1161,北宋,1126-1127,宋徽宗趙佶,,靖康之變→金
宋高宗趙構,1107,1187,南宋,1127-1162,宋欽宗趙桓,,
宋孝宗趙昚,1127,1194,南宋,1162-1189,宋高宗趙構,,
宋光宗趙惇,1147,1200,南宋,1189-1194,宋孝宗趙昚,,
