名前,性別,生年,没年,時代,肩書,師,学派,著作,期間,メモ
尼采,男,1844,1900,近代,哲学家,叔本华,実存思想,《查拉图斯特拉如是说》,,「上帝已死」。超人思想。私淑叔本华
弗洛伊德,男,1856,1939,现代,精神科医生,,精神分析,《梦的解析》,,精神分析创始人。发现无意识
胡塞尔,男,1859,1938,现代,哲学家,,現象学,《逻辑研究》,,现象学创始人。海德格尔之师
罗素,男,1872,1970,现代,哲学家·数学家,,論理主義,《数学原理》,,数理逻辑。诺贝尔文学奖。维特根斯坦之师
荣格,男,1875,1961,现代,精神科医生,弗洛伊德,分析心理学,《心理类型》,,与弗洛伊德决裂，创立分析心理学
爱因斯坦,男,1879,1955,现代,物理学家,,理論物理学,《相对论》,,相对论。诺贝尔物理学奖。E=mc²
凯恩斯,男,1883,1946,近代,经济学家,阿尔弗雷德·马歇尔,マクロ経済学,《就业、利息和货币通论》,,凯恩斯经济学。布雷顿森林体系
维特根斯坦,男,1889,1951,现代,哲学家,罗素,言語哲学,《逻辑哲学论》,,「对于不可言说的，必须保持沉默」
海德格尔,男,1889,1976,现代,哲学家,胡塞尔,実存主義,《存在与时间》,,《存在与时间》。存在主义的源头
波普尔,男,1902,1994,现代,哲学家,,科学哲学,《开放社会及其敌人》,,证伪主义。开放社会的捍卫者
萨特,男,1905,1980,现代,哲学家·作家,,実存主義,《存在与虚无》,,存在先于本质。拒领诺贝尔奖
罗尔斯,男,1921,2002,现代,哲学家,,政治哲学,《正义论》,,《正义论》。「无知之幕」。现代政治哲学的基准
