名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
シャーロット・ナツメグ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十女；十つ子；夏（ナツ）
シャーロット・アキメグ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十一女；十つ子；秋（アキ）
シャーロット・ハルメグ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十二女；十つ子；春（ハル）
シャーロット・フユメグ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十三女；十つ子；冬（フユ）
シャーロット・オールメグ,女,,,,シャーロット・リンリン,,,,ビッグ・マム海賊団,三十四女；十つ子；全季節
アラディン,男,,,,,シャーロット・プラリネ,,,太陽の海賊団副船長,元天竜人の奴隷；タチウオの魚人
カポネ・ベッジ,男,,,,,シャーロット・シフォン,,,ファイアタンク海賊団船長,カポネ・ベッジ；シフォンの夫
うるティ,女,,,,,,,,百獣海賊団飛び六胞,ページワンの姉；ドラゴン型古代種の実（パキケファロサウルス）
ページワン,男,,,,,,,,百獣海賊団飛び六胞,うるティの弟；ドラゴン型古代種の実（スピノサウルス）
ニコ・オルビア,女,,,,,,,,オハラの考古学者,ロビンの母；故人；バスターコールで死亡
ニコ・ロビン,女,,,,ニコ・オルビア,,,,麦わらの一味,悪魔の子；麦わら歴史家；ハナハナの実
コウシロウ,男,,,,,,,,一刀流道場師範,一心道場主；くいなの父；ゾロの師匠
くいな,女,,,コウシロウ,,,,,剣士,故人；ゾロの幼馴染；剣術の天才
