名前,性別,生年,没年,父,母,配偶者,養父,養母,肩書,メモ
岳和,男,,,岳氏の父,,,,,鉄笛仙,梁山泊の将；岳氏の弟（孫立の義弟）；登州の獄卒；鉄笛（てっちゃく）の名手
張氏の父,男,,,,,,,,,張橫と張順の父（仮名；原典では名前未詳）
張橫,男,,,張氏の父,,,,,船火児,第28位・天刑星；梁山泊水軍統領；浔陽江で旅人を装い財物を奪った盗賊；張順の兄
張順,男,,,張氏の父,,,,,浪裏白条,第30位・天罪星；梁山泊水軍統領；張橫の弟；水中戦の達人；蘇州攻めで戦死
童氏の父,男,,,,,,,,,童威と童猛の父（仮名；原典では名前未詳）
童威,男,,,童氏の父,,,,,出洞蛟,梁山泊水軍統領；解陽嶺で李俊の配下として活動；童猛の兄
童猛,男,,,童氏の父,,,,,翻江蜃,梁山泊水軍統領；童威の弟；李俊らと共に晩年シャムへ渡った
祝朝奉,男,,,,,,,,,祝家荘の荘主；三人の息子の父；独竜嶺三荘の一角；梁山泊軍と対立し討たれた
祝龍,男,,,祝朝奉,,,,,,祝朝奉の長男；祝家荘の武将
祝虎,男,,,祝朝奉,,,,,,祝朝奉の次男；祝家荘の武将
祝彪,男,,,祝朝奉,,,,,,祝朝奉の三男；扈三娘の婚約者であったが梁山泊との交戦中に戦死
扈太公,男,,,,,,,,,独竜嶺・扈家荘の荘主；扈成と扈三娘の父；梁山泊軍に攻められ降伏
扈成,男,,,扈太公,,,,,,扈三娘の兄；扈家荘の武将；後に梁山泊に帰順した
扈三娘,女,,,扈太公,,王英,,,一丈青,梁山泊唯一の女性馬軍将；双刀の使い手；祝彪の婚約者だったが宋江の計らいで王英と結婚
王英,男,,,,,扈三娘,,,矮脚虎,梁山泊の将；宋江の取り計らいで扈三娘と結婚；斧を用いた近接戦が得意
花氏の父,男,,,,,,,,,花栄と花宝燕の父（仮名；原典では名前未詳）
花栄,男,,,花氏の父,,,,,小李広,第9位・天英星；梁山泊馬軍将；百発百中の弓の名手；清風寨の知寨
花宝燕,女,,,花氏の父,,秦明,,,,花栄の妹；宋江が秦明の家族喪失を慰めるため縁組（名前は一部資料による）
秦明,男,,,,,花宝燕,,,霹靂火,第7位・天猛星；梁山泊馬軍五虎将；元・青州の先鋒将；花宝燕と再婚
林冲,男,,,,,張氏,,,豹子頭,第6位・天雄星；禁軍教頭；高俅に陥れられ江州へ流刑後に梁山泊入り
張氏,女,,,,,林冲,,,,林娘子；林冲の妻；高衙内に狙われ続け自害；高俅との確執の発端
盧俊義,男,,,,,賈氏,,,玉麒麟,第2位・天罡星；河北の豪商；燕青の主人；呉用の策略で梁山泊に引き込まれた
賈氏,女,,,,,盧俊義,,,,盧俊義の妻；管事の李固と不倫；夫が囚われている間に家産と共に李固に付いた
楊雄,男,,,,,潘巧雲,,,病関索,梁山泊の将；州の劊子手（処刑人）；石秀と共に行動した
潘巧雲,女,,,,,楊雄,,,,楊雄の妻（再婚）；僧の裴如海と密通；石秀に発覚し楊雄に処刑された
鄒淵,男,,,,,,,,出林竜,梁山泊の将；雲竜嶺の頭領；鄒潤の叔父；甥とほぼ同年齢の珍しい叔甥
鄒潤,男,,,,,,,,独角竜,梁山泊の将；頭部の肉のこぶが渾名の由来；鄒淵の甥；孫立たちと共に登州から梁山泊へ
呉用,男,,,,,,,,智多星,第3位・天機星；梁山泊の軍師（謀士）；元は鄆城縣の私塾教師；宋江の右腕
公孫勝,男,,,,,,,,入雲龍,第4位・天閑星；道術（法術）の使い手；一清道人とも；出家後は師のもとへ戻った
魯智深,男,,,,,,,,花和尚,第13位・天孤星；元軍官；拳三発で鎮関西を倒し出家；武松と縁が深い
李逵,男,,,,,,,,黒旋風,第22位・天殺星；宋江に絶対忠誠を誓う；双斧の豪傑；母を虎に食われた悲劇も持つ
柴進,男,,,,,,,,小旋風,第10位・天富星；後周皇族・柴栄の末裔；勅書を持ち諸豪傑を匿い梁山泊入りを支援
燕青,男,,,,,,,,浪子,第36位・天巧星；盧俊義の忠実な侍童；相撲と歌の達人；梁山泊内で最後に姿を消した
呼延灼,男,,,,,,,,双鞭,第8位・天威星；宋代名将・呼延賛の後裔；双鞭（むち）の達人；連環馬陣で梁山泊を苦しめた
楊志,男,,,,,,,,青面獣,第17位・天暗星；楊業（楊令公）の後裔を称する；宝刀売りと「生辰綱」護送失敗で有名
関勝,男,,,,,,,,大刀,第5位・天勇星；関羽の後裔を称する；大刀と赤兎馬を駆る梁山泊の馬軍大将
徐寧,男,,,,,,,,金槍手,第18位・天佑星；禁軍の鉤鎌槍術の名手；湯隆（梁山泊の将）は母方の従弟
