名前,性別,生年,没年,肩書,期間,継承,メモ
後伏見,男,1288,1336,第93代天皇,1298-1301,伏見,持明院統
後二条,男,1285,1308,第94代天皇,1301-1308,後伏見,大覚寺統
花園,男,1297,1348,第95代天皇,1308-1318,後二条,持明院統
後醍醐,男,1288,1339,第96代天皇（南朝）,1318-1339,花園,建武の新政。南朝の初代
後村上,男,1328,1368,第97代天皇（南朝）,1339-1368,後醍醐,南朝の天皇。吉野朝廷
長慶,男,1343,1394,第98代天皇（南朝）,1368-1383,後村上,南朝の天皇
後亀山,男,1350,1424,第99代天皇（南朝）,1383-1392,長慶,南北朝合一で後小松に譲位
光厳,男,1313,1364,北朝第1代天皇,1331-1333,後伏見,持明院統。北朝の初代
光明,男,1322,1380,北朝第2代天皇,1336-1348,光厳,北朝の天皇
崇光,男,1334,1398,北朝第3代天皇,1348-1351,光明,北朝の天皇
後光厳,男,1338,1374,北朝第4代天皇,1352-1371,崇光,北朝の天皇。足利義満と連携
後円融,男,1359,1393,北朝第5代天皇,1371-1382,後光厳,北朝の天皇
後小松,男,1377,1433,第100代天皇,1382-1412,後円融；後亀山,南北朝合一（1392年）。室町時代の天皇
称光,男,1401,1428,第101代天皇,1412-1428,後小松,
後花園,男,1419,1471,第102代天皇,1428-1464,称光,嘉吉の乱
後土御門,男,1442,1500,第103代天皇,1464-1500,後花園,応仁の乱（1467年）
後柏原,男,1464,1526,第104代天皇,1500-1526,後土御門,戦国時代の天皇
後奈良,男,1497,1557,第105代天皇,1526-1557,後柏原,戦国時代の天皇
正親町,男,1517,1593,第106代天皇,1557-1586,後奈良,信長・秀吉が朝廷に仕えた時代
後陽成,男,1572,1617,第107代天皇,1586-1611,正親町,秀吉の関白任官・家康の将軍任官
後水尾,男,1596,1680,第108代天皇,1611-1629,後陽成,紫衣事件で退位。芸術文化の庇護者
明正,女,1624,1696,第109代天皇,1629-1643,後水尾,後水尾天皇の皇女
後光明,男,1633,1654,第110代天皇,1643-1654,明正,
後西,男,1638,1685,第111代天皇,1655-1663,後光明,明暦の大火の時代
霊元,男,1654,1732,第112代天皇,1663-1687,後西,朝幕関係の緊張。武家の摂関家
東山,男,1675,1710,第113代天皇,1687-1709,霊元,元禄文化の時代
中御門,男,1702,1737,第114代天皇,1709-1735,東山,
桜町,男,1720,1750,第115代天皇,1735-1747,中御門,朝儀復興
桃園,男,1741,1762,第116代天皇,1747-1762,桜町,
後桜町,女,1740,1813,第117代天皇,1762-1770,桃園,最後の女帝（江戸期）
後桃園,男,1758,1779,第118代天皇,1770-1779,後桜町,
光格,男,1771,1840,第119代天皇,1779-1817,後桃園,江戸末期の朝権回復
仁孝,男,1800,1846,第120代天皇,1817-1846,光格,
孝明,男,1831,1867,第121代天皇,1846-1867,仁孝,幕末の天皇。開国・尊王攘夷の時代
明治,男,1852,1912,第122代天皇,1867-1912,孝明,明治維新・五箇条の御誓文
大正,男,1879,1926,第123代天皇,1912-1926,明治,大正デモクラシー
昭和,男,1901,1989,第124代天皇,1926-1989,大正,戦争の時代。象徴天皇として終戦
明仁,男,1933,,第125代天皇（上皇）,1989-2019,昭和,平成の天皇。退位して上皇
徳仁,男,1960,,第126代天皇（今上）,2019-,明仁,令和の天皇（在位中）
