名前,性別,生年,没年,肩書,期間,継承,朝代更换,メモ
エリザベス1世,女,1533,1603,イングランド女王,1558-1603,メアリー1世,ジェームズ1世,エリザベス朝黄金時代。アルマダ海戦勝利
ジェームズ1世,男,1566,1625,イングランド王（ステュアート朝）,1603-1625,エリザベス1世,,スコットランドと同君連合。欽定訳聖書
チャールズ1世,男,1600,1649,イングランド王,1625-1649,ジェームズ1世,,清教徒革命で処刑
チャールズ2世,男,1630,1685,イングランド王,1660-1685,チャールズ1世,,王政復古
ジェームズ2世,男,1633,1701,イングランド王,1685-1688,チャールズ2世,,名誉革命で追放
ウィリアム3世,男,1650,1702,イングランド王,1689-1702,ジェームズ2世,,名誉革命。権利章典
メアリー2世,女,1662,1694,イングランド女王,1689-1694,ジェームズ2世,,ウィリアム3世と共同統治
アン女王,女,1665,1714,イングランド女王,1702-1714,ウィリアム3世,,ステュアート朝最後。スコットランドと合併
ジョージ1世,男,1660,1727,イギリス王（ハノーヴァー朝初代）,1714-1727,アン女王,,ハノーヴァー朝の創始
ジョージ2世,男,1683,1760,イギリス王,1727-1760,ジョージ1世,,
ジョージ3世,男,1738,1820,イギリス王,1760-1820,ジョージ2世,,アメリカ独立戦争。ナポレオン戦争
ジョージ4世,男,1762,1830,イギリス王,1820-1830,ジョージ3世,,摂政時代のパトロン
ウィリアム4世,男,1765,1837,イギリス王,1830-1837,ジョージ4世,,改革法案の時代
ヴィクトリア女王,女,1819,1901,イギリス女王,1837-1901,ウィリアム4世,,ヴィクトリア朝。大英帝国の最盛期
エドワード7世,男,1841,1910,イギリス王,1901-1910,ヴィクトリア女王,,ヴィクトリア女王の子
ジョージ5世,男,1865,1936,イギリス王（ウィンザー朝）,1910-1936,エドワード7世,,第一次世界大戦。ウィンザー家に改称
ジョージ6世,男,1895,1952,イギリス王,1936-1952,ジョージ5世,,第二次世界大戦の国王
エリザベス2世,女,1926,2022,イギリス女王,1952-2022,ジョージ6世,,在位70年。チャーチルからトラスまで15人の首相
チャールズ3世,男,1948,,イギリス王（在位中）,2022-,エリザベス2世,,エリザベス2世の長男
フェルディナンド2世,男,1452,1516,アラゴン王,1479-1516,,,レコンキスタ完成。コロンブス支援
イサベル1世,女,1451,1504,カスティーリャ女王,1474-1504,,,コロンブスの航海を支援。スペイン統一の基盤
フェリペ2世,男,1527,1598,スペイン王,1556-1598,カール5世,,無敵艦隊。アルマダ海戦で敗北
フェリペ3世,男,1578,1621,スペイン王,1598-1621,フェリペ2世,,
フェリペ4世,男,1605,1665,スペイン王,1621-1665,フェリペ3世,,三十年戦争。ベラスケスに肖像画を描かせる
カルロス2世,男,1661,1700,スペイン王（ハプスブルク家最後）,1665-1700,フェリペ4世,フェリペ5世,近親婚の影響。ハプスブルク家断絶
フェリペ5世,男,1683,1746,スペイン王（ブルボン朝初代）,1700-1746,カルロス2世,,スペイン継承戦争後、ブルボン朝が成立
カルロス3世,男,1716,1788,スペイン王,1759-1788,,,啓蒙専制君主
カルロス4世,男,1748,1819,スペイン王,1788-1808,,,ナポレオンに退位を強いられる
フェルナンド7世,男,1784,1833,スペイン王,1808-1833,カルロス4世,,ナポレオン戦争・スペイン独立戦争
イサベル2世,女,1830,1904,スペイン女王,1833-1868,フェルナンド7世,,即位の争い。カルリスタ戦争
アルフォンソ13世,男,1886,1941,スペイン王,1902-1931,,,共和制の成立で亡命
フアン・カルロス1世,男,1938,,スペイン王,1975-2014,,,フランコ後、民主化を主導。退位
フェリペ6世,男,1968,,スペイン王（在位中）,2014-,フアン・カルロス1世,,
ミハイル・ロマノフ,男,1596,1645,ロシア皇帝（ロマノフ朝初代）,1613-1645,,,動乱時代を収束。ロマノフ朝の創始
アレクセイ,男,1629,1676,ロシア皇帝,1645-1676,ミハイル・ロマノフ,,ピョートル大帝の父
ピョートル1世,男,1672,1725,ロシア皇帝（大帝）,1682-1725,アレクセイ,,ペテルブルク建設。西欧化改革
エカチェリーナ1世,女,1684,1727,ロシア女帝,1725-1727,ピョートル1世,,ピョートル大帝の妻
エリザベタ,女,1709,1762,ロシア女帝,1741-1762,,,七年戦争
ピョートル3世,男,1728,1762,ロシア皇帝,1762,エリザベタ,,エカチェリーナ2世により廃位
エカチェリーナ2世,女,1729,1796,ロシア女帝（大帝）,1762-1796,ピョートル3世,,啓蒙専制君主。ポチョムキンと黒海進出
パーヴェル1世,男,1754,1801,ロシア皇帝,1796-1801,エカチェリーナ2世,,暗殺される
アレクサンドル1世,男,1777,1825,ロシア皇帝,1801-1825,パーヴェル1世,,ナポレオン戦争に勝利
ニコライ1世,男,1796,1855,ロシア皇帝,1825-1855,アレクサンドル1世,,クリミア戦争
アレクサンドル2世,男,1818,1881,ロシア皇帝,1855-1881,ニコライ1世,,農奴解放。暗殺される
アレクサンドル3世,男,1845,1894,ロシア皇帝,1881-1894,アレクサンドル2世,,
ニコライ2世,男,1868,1918,最後のロシア皇帝,1894-1917,アレクサンドル3世,,二月革命で退位。ロマノフ家処刑
ジョージ・ワシントン,男,1732,1799,初代アメリカ大統領,1789-1797,,,独立戦争の総司令官。「アメリカの父」
ジョン・アダムズ,男,1735,1826,第2代アメリカ大統領,1797-1801,ジョージ・ワシントン,,独立宣言起草者の一人
トーマス・ジェファーソン,男,1743,1826,第3代アメリカ大統領,1801-1809,ジョン・アダムズ,,独立宣言起草。ルイジアナ買収
ジェームズ・マディソン,男,1751,1836,第4代アメリカ大統領,1809-1817,トーマス・ジェファーソン,,憲法の父
ジェームズ・モンロー,男,1758,1831,第5代アメリカ大統領,1817-1825,ジェームズ・マディソン,,モンロー主義
アンドリュー・ジャクソン,男,1767,1845,第7代アメリカ大統領,1829-1837,,,民主主義の拡大
エイブラハム・リンカーン,男,1809,1865,第16代アメリカ大統領,1861-1865,,,南北戦争。奴隷解放宣言。暗殺される
ウリセス・グラント,男,1822,1885,第18代アメリカ大統領,1869-1877,,,南北戦争の北軍総司令官
グロバー・クリーブランド,男,1837,1908,第22・24代アメリカ大統領,1885-1889；1893-1897,,,非連続再選
ウィリアム・マッキンリー,男,1843,1901,第25代アメリカ大統領,1897-1901,,,米西戦争。暗殺される
セオドア・ルーズベルト,男,1858,1919,第26代アメリカ大統領,1901-1909,ウィリアム・マッキンリー,,ラシュモア山。パナマ運河
ウッドロウ・ウィルソン,男,1856,1924,第28代アメリカ大統領,1913-1921,,,第一次世界大戦・国際連盟提唱
フランクリン・ルーズベルト,男,1882,1945,第32代アメリカ大統領,1933-1945,,,ニューディール。第二次世界大戦。4選
ハリー・トルーマン,男,1884,1972,第33代アメリカ大統領,1945-1953,フランクリン・ルーズベルト,,マーシャル・プラン。国連創設
ドワイト・アイゼンハワー,男,1890,1969,第34代アメリカ大統領,1953-1961,ハリー・トルーマン,,第二次世界大戦の連合軍最高司令官
ジョン・F・ケネディ,男,1917,1963,第35代アメリカ大統領,1961-1963,ドワイト・アイゼンハワー,,キューバ危機。暗殺される
リチャード・ニクソン,男,1913,1994,第37代アメリカ大統領,1969-1974,,,ニクソン訪中。ウォーターゲート事件で辞任
ジミー・カーター,男,1924,2024,第39代アメリカ大統領,1977-1981,,,キャンプ・デービッド合意
ロナルド・レーガン,男,1911,2004,第40代アメリカ大統領,1981-1989,,,冷戦終結へ。レーガノミクス
ビル・クリントン,男,1946,,第42代アメリカ大統領,1993-2001,ジョージ・H・W・ブッシュ,,経済繁栄
ジョージ・W・ブッシュ,男,1946,,第43代アメリカ大統領,2001-2009,ビル・クリントン,,9.11同時多発テロ。イラク戦争
ジョージ・H・W・ブッシュ,男,1924,2018,第41代アメリカ大統領,1989-1993,ロナルド・レーガン,,湾岸戦争。ブッシュ家
バラク・オバマ,男,1961,,第44代アメリカ大統領,2009-2017,ジョージ・W・ブッシュ,,初の黒人大統領。医療保険改革
ドナルド・トランプ,男,1946,,第45・47代アメリカ大統領,2017-2021；2025-,バラク・オバマ；ジョー・バイデン,,実業家出身。再選で復帰
ジョー・バイデン,男,1942,,第46代アメリカ大統領,2021-2025,ドナルド・トランプ,,最年長の大統領
